ID do Sistema Peça, ID do Sistema Subsídio, Status, Mensagem
302179, 770722, Sucesso, Atualização bem-sucedida.
770722, , Sucesso, Atualização bem-sucedida.
302179, 793744, Sucesso, Atualização bem-sucedida.
793744, , Sucesso, Atualização bem-sucedida.
302179, 998352, Sucesso, Atualização bem-sucedida.
998352, , Sucesso, Atualização bem-sucedida.
302179, 998355, Sucesso, Atualização bem-sucedida.
998355, , Sucesso, Atualização bem-sucedida.
302179, 998369, Sucesso, Atualização bem-sucedida.
998369, , Sucesso, Atualização bem-sucedida.
302179, 998373, Sucesso, Atualização bem-sucedida.
998373, , Sucesso, Atualização bem-sucedida.
302179, 998375, Sucesso, Atualização bem-sucedida.
998375, , Sucesso, Atualização bem-sucedida.
302179, 998376, Sucesso, Atualização bem-sucedida.
998376, , Sucesso, Atualização bem-sucedida.
302179, 998460, Sucesso, Atualização bem-sucedida.
998460, , Sucesso, Atualização bem-sucedida.
302179, 998954, Sucesso, Atualização bem-sucedida.
998954, , Sucesso, Atualização bem-sucedida.
302179, 998963, Sucesso, Atualização bem-sucedida.
998963, , Sucesso, Atualização bem-sucedida.
302179, 998966, Sucesso, Atualização bem-sucedida.
998966, , Sucesso, Atualização bem-sucedida.
302179, 998973, Sucesso, Atualização bem-sucedida.
998973, , Sucesso, Atualização bem-sucedida.
302179, 999005, Sucesso, Atualização bem-sucedida.
999005, , Sucesso, Atualização bem-sucedida.
302179, 999117, Sucesso, Atualização bem-sucedida.
999117, , Sucesso, Atualização bem-sucedida.
302179, 999121, Sucesso, Atualização bem-sucedida.
999121, , Sucesso, Atualização bem-sucedida.
302179, 999273, Sucesso, Atualização bem-sucedida.
999273, , Sucesso, Atualização bem-sucedida.
302179, 999276, Sucesso, Atualização bem-sucedida.
999276, , Sucesso, Atualização bem-sucedida.
